"Cell","Drug","IC50"
684052,"Vismodegib",4.389275
684052,"ZM447439",0.376164
684052,"ABT737",-0.082061
684052,"Osimertinib",1.372555
684052,"Lestaurtinib",-0.985482
684052,"Doramapimod",4.229622
684052,"Vorinostat",1.269683
684052,"GSK591",2.434773
684052,"Picolinici-acid",5.198803
684052,"Docetaxel",-6.170717
684052,"GSK2578215A",5.064719
684052,"ML323",4.832385
684052,"KU-55933",4.473137
684052,"Sepantronium bromide",-6.063325
684052,"Buparlisib",0.441914
684052,"Entinostat",2.168937
684052,"AZ6102",1.140562
684052,"BMS-754807",0.074245
684052,"Camptothecin",-4.869455
684052,"GSK1904529A",3.776503
684052,"BMS-345541",2.769795
684052,"MN-64",4.588257
684052,"PRIMA-1MET",3.634479
684052,"Bortezomib",-5.232455
684052,"MK-2206",3.296323
684052,"EPZ004777",4.487801
684052,"VX-11e",2.697358
684052,"Afuresertib",3.41729
684052,"Uprosertib",3.736148
684052,"AZD7762",-0.483209
684052,"Savolitinib",2.709134
684052,"Dinaciclib",-3.561895
684052,"MK-8776",2.879347
684052,"I-BRD9",4.051924
684052,"Serdemetan",1.421923
684052,"MK-1775",1.075628
684052,"Temozolomide",5.769864
684052,"Oxaliplatin",3.632912
684052,"Leflunomide",4.335139
684052,"Alpelisib",2.728421
684052,"Lenalidomide",4.998659
684052,"OTX015",1.75344
684052,"Veliparib",4.702161
684052,"Sorafenib",2.526963
684052,"YK-4-279",0.466064
684052,"GW441756",3.096081
684052,"Pictilisib",0.977387
684052,"Sabutoclax",-1.153924
684052,"OF-1",3.158523
684052,"Vinorelbine",-4.670889
684052,"PRT062607",2.539545
684052,"Taselisib",1.782493
684052,"LGK974",3.640884
684052,"PCI-34051",4.155164
684052,"PFI3",5.101201
684072,"PFI-1",2.916847
684072,"Pevonedistat",-2.031976
684072,"Staurosporine",-3.805461
684072,"Linsitinib",0.925905
684072,"Erlotinib",1.624808
684072,"Irinotecan",-0.319676
684072,"AZD4547",0.328116
684072,"AZD3759",2.477115
684072,"Trametinib",2.386515
684072,"SCH772984",3.15951
684072,"Dactolisib",-2.861759
684072,"Venetoclax",0.88715
684072,"Axitinib",0.640129
684072,"PD173074",2.796826
684072,"Telomerase Inhibitor IX",0.213353
684072,"PD0325901",3.542297
684072,"Tanespimycin",-0.851453
684072,"Nilotinib",1.919352
684072,"OSI-027",3.456171
684072,"Palbociclib",1.59262
684072,"Mirin",4.503566
684072,"XAV939",3.971263
684072,"Entinostat",1.406839
684072,"MK-8776",1.588255
684072,"Ruxolitinib",3.828766
684072,"PLX-4720",3.356384
684072,"Vismodegib",3.818319
684072,"Avagacestat",4.726701
684072,"Crizotinib",0.352974
684072,"Epirubicin",-3.159
684072,"AZD8186",2.215815
684072,"Rucaparib",1.405407
684072,"Lestaurtinib",-2.697224
684072,"Buparlisib",0.418074
684072,"EHT-1864",3.874201
684072,"AZD5363",1.566932
684072,"Bosutinib",0.863484
684072,"IWP-2",2.237338
684072,"Osimertinib",1.658029
684072,"Oxaliplatin",2.41312
684072,"Ribociclib",1.091608
684072,"Fulvestrant",2.679439
684072,"Afatinib",1.136412
684072,"Savolitinib",2.077066
684072,"BMS-345541",2.508395
684072,"Niraparib",0.283371
684072,"NVP-ADW742",1.022876
684072,"JNK Inhibitor VIII",4.263828
684072,"Dactinomycin",-6.230157
684072,"Tamoxifen",3.26266
684072,"Uprosertib",3.200211
684072,"Selumetinib",4.748656
684072,"BIBR-1532",3.592365
684072,"Navitoclax",-0.364327
684072,"Sepantronium bromide",-5.918777
684072,"Dasatinib",2.87714
684072,"SB590885",3.013997
684072,"Refametinib",3.643526
684072,"KRAS (G12C) Inhibitor-12",2.862294
684072,"VE821",3.296582
684072,"Pyridostatin",1.992234
684072,"AZ6102",1.818797
684072,"CZC24832",4.808354
684072,"LY2109761",4.912874
684072,"Wee1 Inhibitor",0.428147
684072,"OF-1",4.883453
684072,"MIRA-1",4.42918
684072,"NU7441",2.872349
684072,"PFI3",4.903805
684072,"WIKI4",3.125101
684072,"Cediranib",1.5216
684072,"Rapamycin",-3.814403
684072,"PRT062607",1.92878
684072,"AZD6738",0.730719
684072,"Picolinici-acid",4.913736
684072,"I-BET-762",3.696188
684072,"Serdemetan",0.964202
684072,"ABT737",0.204227
684072,"LCL161",4.913736
684072,"Lenalidomide",4.530531
684072,"EPZ004777",4.183525
684072,"SB216763",4.912137
684072,"BMS-754807",-2.621207
684072,"BMS-536924",1.019442
684072,"Nutlin-3a (-)",4.306808
684072,"Paclitaxel",-5.373631
684072,"Lapatinib",2.502029
684072,"5-Fluorouracil",3.838446
684072,"PCI-34051",3.074621
684072,"Gemcitabine",-5.075268
684072,"Ipatasertib",2.806648
684072,"SGC0946",1.490873
684072,"Vorinostat",0.832627
684072,"Foretinib",-0.278983
684072,"Temozolomide",5.336612
684072,"Entospletinib",4.726622
684072,"YK-4-279",0.22084
684072,"Gefitinib",3.044692
684072,"Leflunomide",4.588518
684072,"Wnt-C59",3.552286
684072,"Taselisib",-0.186937
684072,"Docetaxel",-6.386012
684072,"P22077",3.468385
684072,"Doramapimod",3.470033
684072,"ZM447439",-0.722767
684072,"Ulixertinib",2.08155
684072,"GDC0810",4.63377
684072,"Talazoparib",-4.652585
684072,"EPZ5676",4.841818
684072,"WZ4003",2.325315
684072,"VE-822",1.20574
684072,"Veliparib",3.923346
684072,"GSK591",3.328763
684072,"KU-55933",4.904798
684072,"Sapitinib",5.150966
684072,"GSK2606414",2.530721
684072,"Vinorelbine",-5.400712
684072,"AZ960",0.335837
684072,"MK-2206",1.891847
684072,"RVX-208",4.913736
684072,"Camptothecin",-5.142961
684072,"Olaparib",0.5929
684072,"MK-1775",-0.955245
684072,"Bortezomib",-4.925538
684072,"Luminespib",-3.058168
684072,"AMG-319",4.168447
684072,"GW441756",2.557018
684072,"GSK343",2.599629
684072,"Pictilisib",0.014664
684072,"Dinaciclib",-3.720787
684072,"AT13148",1.983379
684072,"AGI-5198",3.982163
684072,"ML323",4.734229
684072,"MN-64",4.913736
684072,"PRIMA-1MET",5.040692
684072,"OTX015",3.3488
684072,"Motesanib",4.796769
684072,"MG-132",-1.210334
684072,"AGI-6780",4.634051
684072,"I-BRD9",4.036106
684072,"AZD7762",-0.665673
684072,"Afuresertib",2.425008
684072,"GSK2578215A",4.245207
684072,"LJI308",4.101052
684072,"Sabutoclax",-2.347061
684072,"JQ1",1.910623
684072,"LGK974",4.92477
684072,"GSK1904529A",3.306752
684072,"Sorafenib",2.213505
684072,"RO-3306",0.98817
684072,"SN-38",-6.437863
684072,"Cyclophosphamide",4.353299
684072,"VX-11e",3.701455
684072,"Alpelisib",2.605469
684072,"Ibrutinib",4.380138
687448,"Staurosporine",-1.807076
687448,"Axitinib",5.669571
687448,"PFI-1",6.150753
687448,"Dactolisib",0.166194
687448,"PLX-4720",0.67507
687448,"Pevonedistat",1.098402
687448,"Linsitinib",5.137742
687448,"EHT-1864",5.384141
687448,"IWP-2",4.592124
687448,"AZD3759",3.956133
687448,"Irinotecan",3.615786
687448,"Selumetinib",1.502589
687448,"Telomerase Inhibitor IX",2.454095
687448,"VE821",3.288246
687448,"Nilotinib",3.866508
687448,"Trametinib",-2.991664
687448,"PD173074",7.243934
687448,"PD0325901",-1.961545
687448,"Ribociclib",5.255035
687448,"MK-8776",4.411333
687448,"5-Fluorouracil",9.202779
687448,"SCH772984",0.10126
687448,"Afatinib",4.479725
687448,"XAV939",6.767583
687448,"Buparlisib",1.71999
687448,"Dinaciclib",-1.175481
687448,"AZD7762",1.359358
687448,"AZD4547",3.234362
687448,"Bosutinib",1.129838
687448,"Mirin",6.300486
687448,"AZD8186",3.034439
687448,"Fulvestrant",4.266151
687448,"Docetaxel",0.494636
687448,"Erlotinib",3.677954
687448,"MIRA-1",6.742841
687448,"Tanespimycin",0.352595
687448,"Ruxolitinib",6.249777
687448,"JNK Inhibitor VIII",6.017806
687448,"PRT062607",3.494454
687448,"Palbociclib",3.4115
687448,"Osimertinib",2.918938
687448,"Sepantronium bromide",-4.653176
687448,"SB216763",3.093606
687448,"Wee1 Inhibitor",3.192627
687448,"Epirubicin",-1.165762
687448,"Ipatasertib",4.508059
687448,"Gefitinib",4.749202
687448,"KRAS (G12C) Inhibitor-12",7.791079
687448,"GDC0810",6.296727
687448,"OSI-027",4.930651
687448,"CZC24832",7.155523
687448,"SB590885",2.658895
687448,"AZD5363",3.576789
687448,"Rucaparib",6.297876
687448,"BMS-536924",3.12777
687448,"Afuresertib",3.902541
687448,"ABT737",4.401265
687448,"Dasatinib",0.647502
687448,"Vismodegib",7.264934
687448,"AZ6102",3.262148
687448,"WZ4003",4.890638
687448,"P22077",5.285386
687448,"OF-1",4.94597
687448,"Doramapimod",6.635494
687448,"PFI3",7.170359
687448,"Rapamycin",0.633265
687448,"Savolitinib",3.248974
687448,"Paclitaxel",0.366876
687448,"Leflunomide",6.155002
687448,"Venetoclax",2.203167
687448,"BMS-754807",6.140058
687448,"OTX015",7.122119
687448,"BIBR-1532",5.818447
687448,"Navitoclax",7.133444
687448,"Lapatinib",6.881015
687448,"Dactinomycin",-3.97811
687448,"AT13148",7.209871
687448,"EPZ004777",6.199997
687448,"AZD6738",1.664755
687448,"Crizotinib",3.709966
687448,"SGC0946",3.722983
687448,"GSK591",4.726687
687448,"WIKI4",4.366426
687448,"LCL161",6.181562
687448,"Cediranib",2.273272
687448,"Oxaliplatin",7.509457
687448,"Uprosertib",4.736916
687448,"BMS-345541",5.743777
687448,"I-BET-762",6.076932
687448,"Avagacestat",6.675079
687448,"Entinostat",2.51717
687448,"I-BRD9",5.06639
687448,"Veliparib",7.11181
687448,"SN-38",-2.788938
687448,"Lestaurtinib",0.786568
687448,"Foretinib",1.095208
687448,"ML323",5.91805
687448,"AMG-319",6.937826
687448,"Refametinib",0.326898
687448,"Ibrutinib",6.779631
687448,"LJI308",7.09594
687448,"LY2109761",6.977041
687448,"NVP-ADW742",2.657452
687448,"PRIMA-1MET",6.045369
687448,"Sapitinib",5.795794
687448,"Talazoparib",2.818977
687448,"Serdemetan",5.459622
687448,"Taselisib",4.747903
687448,"Vinorelbine",1.982828
687448,"RVX-208",7.188055
687448,"VX-11e",2.927525
687448,"Camptothecin",-1.235034
687448,"Nutlin-3a (-)",5.85649
687448,"KU-55933",7.280759
687448,"ZM447439",4.827102
687448,"Luminespib",-0.426102
687448,"Bortezomib",-4.567711
687448,"Temozolomide",9.054587
687448,"AZ960",3.322056
687448,"Tamoxifen",4.284389
687448,"Cyclophosphamide",6.194036
687448,"AGI-5198",4.739406
687448,"NU7441",6.929726
687448,"Pyridostatin",4.573689
687448,"YK-4-279",3.299309
687448,"GSK2606414",6.248798
687448,"MK-1775",4.085693
687448,"Wnt-C59",6.460363
687448,"PCI-34051",7.030101
687448,"RO-3306",7.280759
687448,"Olaparib",4.088327
687448,"Vorinostat",2.004622
687448,"GW441756",4.347487
687448,"Gemcitabine",1.743696
687448,"GSK343",4.74511
687448,"Entospletinib",5.558149
687448,"Motesanib",6.829434
687448,"Pictilisib",3.724934
687448,"LGK974",6.174117
687448,"JQ1",5.672983
687448,"Sorafenib",3.810279
687448,"VE-822",2.854812
687448,"MG-132",-0.67701
687448,"AGI-6780",7.001218
687448,"GSK1904529A",6.57137
687448,"Sabutoclax",0.327777
687448,"EPZ5676",7.045881
687448,"Niraparib",5.130082
687448,"Alpelisib",6.243903
687448,"MK-2206",5.0899
687448,"GSK2578215A",5.91135
687448,"Lenalidomide",4.778342
687448,"MN-64",6.089143
687448,"Picolinici-acid",7.021094
687448,"Ulixertinib",2.225481
687452,"PFI-1",3.698208
687452,"Linsitinib",4.179128
687452,"VE821",3.83379
687452,"Staurosporine",-2.862281
687452,"Erlotinib",0.672353
687452,"Palbociclib",4.245894
687452,"EHT-1864",3.915275
687452,"Telomerase Inhibitor IX",0.003861
687452,"Selumetinib",4.075528
687452,"Buparlisib",0.401878
687452,"Ruxolitinib",5.705822
687452,"Trametinib",-0.274644
687452,"SCH772984",2.164492
687452,"Afatinib",-0.073415
687452,"AZD5363",3.490831
687452,"IWP-2",3.310463
687452,"Leflunomide",4.443165
687452,"AZD7762",0.38569
687452,"AZD4547",2.203506
687452,"Tanespimycin",-0.721887
687452,"Axitinib",2.419557
687452,"Dactolisib",-1.309464
687452,"PD0325901",1.27801
687452,"ABT737",2.576865
687452,"XAV939",5.307537
687452,"Lapatinib",1.960754
687452,"Nilotinib",3.87551
687452,"Bosutinib",1.613805
687452,"Gefitinib",1.754416
687452,"JNK Inhibitor VIII",5.726107
687452,"PD173074",4.346405
687452,"MK-8776",3.668388
687452,"Epirubicin",-1.489255
687452,"SN-38",-4.650655
687452,"Dasatinib",-1.828268
687452,"Osimertinib",0.457485
687452,"Dinaciclib",-1.892309
687452,"AT13148",5.314052
687452,"Docetaxel",-6.087233
687452,"Ribociclib",4.143178
687452,"Fulvestrant",3.106946
687452,"SB216763",4.866084
687452,"OF-1",4.31485
687452,"5-Fluorouracil",3.119386
687452,"Lestaurtinib",-0.713313
687452,"OSI-027",4.39065
687452,"Crizotinib",2.78523
687452,"AZ6102",2.265386
687452,"Wee1 Inhibitor",1.866496
687452,"Entinostat",0.98483
687452,"Veliparib",5.357207
687452,"Ipatasertib",4.899211
687452,"GSK343",3.038649
687452,"GDC0810",4.291355
687452,"LCL161",5.14186
687452,"AZD3759",1.011189
687452,"KU-55933",4.696438
687452,"P22077",4.095061
687452,"PRT062607",3.384018
687452,"LY2109761",5.800469
687452,"Sabutoclax",0.291102
687452,"Refametinib",2.080645
687452,"Vismodegib",5.651374
687452,"Pevonedistat",0.220447
687452,"Sapitinib",1.498725
687452,"GSK2578215A",5.265962
687452,"Vinorelbine",-5.24952
687452,"SB590885",3.349613
687452,"Venetoclax",2.109072
687452,"MIRA-1",6.051009
687452,"Uprosertib",3.227002
687452,"LJI308",5.408089
687452,"BIBR-1532",4.931694
687452,"Cediranib",2.675329
687452,"LGK974",3.964939
687452,"AZD8186",3.703789
687452,"Irinotecan",2.161354
687452,"PLX-4720",4.081266
687452,"NVP-ADW742",3.115227
687452,"Mirin",5.005765
687452,"Foretinib",0.408029
687452,"Savolitinib",1.865427
687452,"Afuresertib",4.148723
687452,"MK-1775",-0.402188
687452,"KRAS (G12C) Inhibitor-12",3.6068
687452,"Gemcitabine",-1.726925
687452,"BMS-536924",1.762073
687452,"OTX015",2.801274
687452,"Navitoclax",2.541281
687452,"WIKI4",3.463396
687452,"Oxaliplatin",3.944612
687452,"EPZ5676",6.072878
687452,"Pictilisib",1.437015
687452,"I-BET-762",4.122602
687452,"Avagacestat",5.701019
687452,"Dactinomycin",-5.697778
687452,"Luminespib",-2.198182
687452,"GSK2606414",3.11178
687452,"Paclitaxel",-4.480454
687452,"Rapamycin",-0.618041
687452,"PFI3",5.586903
687452,"Nutlin-3a (-)",5.081946
687452,"EPZ004777",5.598104
687452,"Niraparib",4.322609
687452,"JQ1",1.757379
687452,"BMS-754807",1.667302
687452,"GSK591",2.975912
687452,"PRIMA-1MET",3.93613
687452,"Entospletinib",3.914774
687452,"Taselisib",1.752828
687452,"Serdemetan",4.012069
687452,"YK-4-279",0.067431
687452,"Cyclophosphamide",5.252328
687452,"MK-2206",4.183238
687452,"Pyridostatin",2.594037
687452,"Vorinostat",1.404695
687452,"Olaparib",3.835821
687452,"Camptothecin",-2.632632
687452,"Sepantronium bromide",-3.769485
687452,"RO-3306",2.897329
687452,"MG-132",-1.413495
687452,"Rucaparib",3.437903
687452,"NU7441",2.714516
687452,"ZM447439",0.97554
687452,"GSK1904529A",5.499187
687452,"Bortezomib",-5.055511
687452,"AZD6738",2.028886
687452,"Picolinici-acid",4.480314
687452,"Tamoxifen",3.996797
687452,"CZC24832",5.137715
687452,"AGI-5198",4.442716
687452,"Motesanib",5.809391
687452,"ML323",5.43485
687452,"PCI-34051",5.796939
687452,"Alpelisib",3.427804
687452,"SGC0946",2.055566
687452,"Doramapimod",5.193078
687452,"GW441756",2.810215
687452,"Sorafenib",2.871989
687452,"Lenalidomide",5.148145
687452,"BMS-345541",4.430471
687452,"AGI-6780",4.578257
687452,"Ulixertinib",2.429376
687452,"Wnt-C59",4.250665
687452,"Temozolomide",5.799831
687452,"VX-11e",2.738433
687452,"WZ4003",4.364147
687452,"Talazoparib",2.193226
687452,"RVX-208",5.451396
687452,"MN-64",5.692985
687452,"AZ960",2.098873
687452,"VE-822",4.611853
687452,"Ibrutinib",3.890014
687452,"I-BRD9",5.60431
687452,"AMG-319",4.831731
687455,"Selumetinib",2.992492
687455,"Telomerase Inhibitor IX",2.604211
687455,"Gefitinib",2.301649
687455,"Afatinib",2.256026
687455,"ABT737",2.558981
687455,"Buparlisib",1.59725
687455,"Linsitinib",4.829608
687455,"IWP-2",3.214933
687455,"AZD7762",1.325612
687455,"Fulvestrant",3.071123
687455,"AZD4547",0.478906
687455,"AZD5363",5.212941
687455,"PD0325901",1.61357
687455,"EHT-1864",2.732329
687455,"Lestaurtinib",1.209396
687455,"OSI-027",1.893983
687455,"Ribociclib",3.091477
687455,"SB590885",3.821925
687455,"Palbociclib",3.558422
687455,"VE821",5.642302
687455,"Foretinib",0.684534
687455,"AZ6102",1.915937
687455,"Dinaciclib",-3.114099
687455,"Dactolisib",-2.559893
687455,"Osimertinib",2.784537
687455,"Bosutinib",3.939544
687455,"MK-8776",4.667005
687455,"PRT062607",4.249504
687455,"KU-55933",5.548982
687455,"SCH772984",1.280034
687455,"XAV939",4.222322
687455,"Tanespimycin",-2.219183
687455,"PD173074",1.238712
687455,"Axitinib",1.54082
687455,"Sapitinib",3.856017
687455,"Vismodegib",5.078134
687455,"Lapatinib",3.24468
687455,"Docetaxel",-4.2407
687455,"P22077",4.549396
687455,"Epirubicin",-0.647386
687455,"PFI-1",3.137608
687455,"PLX-4720",4.793903
687455,"JNK Inhibitor VIII",5.195956
687455,"Nilotinib",2.770157
687455,"Pevonedistat",0.858854
687455,"Staurosporine",-1.652546
687455,"Leflunomide",4.654327
687455,"BMS-754807",3.849569
687455,"LJI308",5.929675
687455,"Ruxolitinib",5.257821
687455,"5-Fluorouracil",4.195505
687455,"Trametinib",-1.015797
687455,"Wee1 Inhibitor",2.622425
687455,"Irinotecan",2.692174
687455,"SN-38",-4.357094
687455,"Dasatinib",1.983942
687455,"Erlotinib",2.034904
687455,"LCL161",5.228808
687455,"Entinostat",4.592988
687455,"Veliparib",4.248447
687455,"Vinorelbine",-3.450326
687455,"Sepantronium bromide",-1.958917
687455,"Sabutoclax",0.02801
687455,"Nutlin-3a (-)",2.497196
687455,"Mirin",4.776385
687455,"AZD3759",2.680664
687455,"Crizotinib",2.967785
687455,"Venetoclax",3.049202
687455,"GSK343",1.824694
687455,"Uprosertib",3.349224
687455,"WIKI4",4.148604
687455,"AT13148",2.710239
687455,"MK-1775",0.921862
687455,"LGK974",2.715904
687455,"GSK2578215A",4.972066
687455,"Pictilisib",1.885093
687455,"GSK2606414",4.594246
687455,"Paclitaxel",-3.57048
687455,"PFI3",5.518
687455,"Savolitinib",3.237439
687455,"AZD8186",5.521753
687455,"BIBR-1532",5.454091
687455,"MK-2206",4.157716
687455,"MIRA-1",5.869662
687455,"Gemcitabine",-4.38752
687455,"Navitoclax",1.507564
687455,"NVP-ADW742",4.263004
687455,"GDC0810",5.539992
687455,"Niraparib",5.108221
687455,"Luminespib",1.642577
687455,"KRAS (G12C) Inhibitor-12",3.631288
687455,"JQ1",3.221787
687455,"Cyclophosphamide",5.293101
687455,"SB216763",5.153026
687455,"ZM447439",2.000282
687455,"Pyridostatin",3.753149
687455,"ML323",4.021264
687455,"OTX015",3.421905
687455,"Rucaparib",4.318967
687455,"BMS-536924",2.045412
687455,"BMS-345541",3.806224
687455,"Dactinomycin",-4.362745
687455,"Oxaliplatin",2.776521
687455,"Vorinostat",2.900528
687455,"Cediranib",1.720954
687455,"Afuresertib",4.875876
687455,"Motesanib",5.508252
687455,"AZD6738",3.607077
687455,"I-BET-762",4.199097
687455,"Olaparib",3.474058
687455,"Avagacestat",5.016114
687455,"GSK1904529A",3.870038
687455,"EPZ004777",4.456088
687455,"Ipatasertib",5.548982
687455,"LY2109761",4.983716
687455,"AGI-6780",3.849168
687455,"PRIMA-1MET",5.876677
687455,"AGI-5198",4.282611
687455,"Entospletinib",3.878864
687455,"SGC0946",2.20605
687455,"I-BRD9",3.751874
687455,"WZ4003",5.518019
687455,"RO-3306",3.875389
687455,"MG-132",-1.351334
687455,"Refametinib",1.850035
687455,"NU7441",3.15849
687455,"Sorafenib",2.043243
687455,"CZC24832",5.013227
687455,"VE-822",3.431835
687455,"Rapamycin",-4.385304
687455,"Wnt-C59",4.285858
687455,"GSK591",4.704753
687455,"Ulixertinib",2.470356
687455,"Ibrutinib",4.469908
687455,"Picolinici-acid",5.333716
687455,"Lenalidomide",5.547016
687455,"Tamoxifen",3.645349
687455,"Taselisib",3.248052
687455,"Alpelisib",4.42687
687455,"Camptothecin",-2.963191
687455,"Bortezomib",-4.252725
687455,"Temozolomide",6.75655
687455,"AMG-319",5.261299
687455,"MN-64",3.260714
687455,"Doramapimod",4.808698
687455,"RVX-208",5.096705
687455,"Serdemetan",4.796447
687455,"VX-11e",1.654547
687455,"EPZ5676",5.789747
687455,"YK-4-279",3.621338
687455,"AZ960",2.34892
687455,"OF-1",3.140537
687455,"Talazoparib",3.986101
687455,"GW441756",1.908713
687455,"PCI-34051",4.076739
687457,"Selumetinib",2.802099
687457,"Leflunomide",5.368836
687457,"Afatinib",3.462205
687457,"SCH772984",2.627606
687457,"ABT737",1.923793
687457,"Osimertinib",2.301737
687457,"Lestaurtinib",1.576108
687457,"Telomerase Inhibitor IX",0.834986
687457,"Buparlisib",1.554378
687457,"Dinaciclib",-2.548379
687457,"KU-55933",6.121818
687457,"Axitinib",2.764903
687457,"Docetaxel",-3.29397
687457,"PD0325901",1.038371
687457,"IWP-2",3.105181
687457,"JNK Inhibitor VIII",5.81107
687457,"Vismodegib",6.064185
687457,"LCL161",4.803132
687457,"Fulvestrant",3.515676
687457,"Foretinib",1.365822
687457,"PLX-4720",5.205588
687457,"PFI-1",4.787075
687457,"OSI-027",4.335222
687457,"Bosutinib",4.38397
687457,"Gefitinib",3.997255
687457,"Staurosporine",-1.11484
687457,"PRT062607",3.753783
687457,"MK-8776",4.824452
687457,"EHT-1864",3.211182
687457,"XAV939",5.249101
687457,"Tanespimycin",0.237407
687457,"Linsitinib",5.069826
687457,"Ribociclib",4.427672
687457,"AZ6102",3.23154
687457,"AZD7762",1.353057
687457,"Dactolisib",-1.948251
687457,"Palbociclib",3.625626
687457,"AZD4547",0.944922
687457,"Pevonedistat",1.34983
687457,"Erlotinib",3.988656
687457,"Lapatinib",4.678415
687457,"Entinostat",2.626486
687457,"Epirubicin",-1.020142
687457,"VE821",4.385723
687457,"Nilotinib",3.637457
687457,"AZD5363",4.824449
687457,"Sapitinib",5.868206
687457,"ZM447439",2.942463
687457,"Afuresertib",4.260359
687457,"BMS-754807",3.658059
687457,"PD173074",2.267864
687457,"Dasatinib",1.985439
687457,"AT13148",4.619805
687457,"GSK2578215A",5.103466
687457,"Veliparib",5.564552
687457,"LGK974",4.237524
687457,"Trametinib",-0.340457
687457,"Dactinomycin",-4.643618
687457,"5-Fluorouracil",4.646333
687457,"Mirin",6.676109
687457,"Niraparib",5.248445
687457,"Pictilisib",2.165813
687457,"Wee1 Inhibitor",3.810227
687457,"Venetoclax",2.060963
687457,"Ruxolitinib",3.357538
687457,"RO-3306",5.560335
687457,"Nutlin-3a (-)",3.574376
687457,"Crizotinib",3.88338
687457,"Savolitinib",2.56121
687457,"Refametinib",1.77558
687457,"ML323",4.430503
687457,"SB590885",5.189997
687457,"GSK343",3.247723
687457,"Irinotecan",3.701072
687457,"LJI308",5.733316
687457,"GDC0810",6.025775
687457,"Pyridostatin",4.116709
687457,"MK-1775",2.940532
687457,"Olaparib",5.039345
687457,"VE-822",4.70664
687457,"Cyclophosphamide",5.860779
687457,"WIKI4",4.879907
687457,"Entospletinib",3.878226
687457,"I-BET-762",5.32699
687457,"Luminespib",1.453064
687457,"NVP-ADW742",2.787529
687457,"CZC24832",4.783325
687457,"Vinorelbine",-2.848164
687457,"Rapamycin",-2.458296
687457,"MIRA-1",5.869924
687457,"PRIMA-1MET",6.725075
687457,"Navitoclax",3.827328
687457,"OTX015",4.133353
687457,"Uprosertib",5.289798
687457,"SN-38",-2.374474
687457,"WZ4003",5.960198
687457,"Avagacestat",5.13162
687457,"JQ1",4.2037
